Index,Energy,Correlation,Dissimilarity,Homogenity,Contrast,class_label
1,0.019348634195303400,0.8678816973017870,18.958476870078700,0.09911475947577460,1128.419844980320,0
2,0.018589973559838200,0.8951547670493760,16.439160925196800,0.09991874476939770,734.8343380905510,0
3,0.020156524515394800,0.9046950898464660,16.13718011811020,0.11521422345218300,782.1624015748030,0
4,0.112825852180621,0.9438061733404820,12.886318897637800,0.2871354352880770,841.671875,0
5,0.112825852180621,0.9438061733404820,12.886318897637800,0.2871354352880770,841.671875,0
6,0.11951719894689800,0.9426018857214730,13.027312992126000,0.29712275002543200,853.3884104330710,0
7,0.11951719894689800,0.9426018857214730,13.027312992126000,0.29712275002543200,853.3884104330710,0
8,0.12436707409090200,0.9402359866853340,13.142285925196800,0.3038153612764500,879.8737081692910,0
9,0.12229869114322500,0.9378202197314260,13.223240649606300,0.29443230463927500,866.3653420275590,0
10,0.04366101613735970,0.9417395368603740,10.756582185039400,0.21814962033280200,523.1598794291340,0
11,0.03582086886645020,0.87764940532084,14.10285433070870,0.19506508626712900,1176.6183562992100,0
12,0.0395944524490263,0.8649693112275790,14.786417322834600,0.1940680064461270,1262.38656496063,0
13,0.04136475520134500,0.9255653122186170,13.425565944881900,0.19400849834109200,708.767716535433,0
14,0.03800548259386780,0.9303917637610770,10.81102362204720,0.25426799928090800,646.2603346456690,0
15,0.03631357505196360,0.9180967922003640,11.145853838582700,0.24353586615812700,704.0461983267720,0
16,0.04300403991132570,0.952583217554523,12.364296259842500,0.23720776700375800,620.8780757874020,1
17,0.2926235142816750,0.9503988181072820,8.85900590551181,0.42544892770787500,404.27891240157500,1
18,0.2302014143971760,0.9158114078265420,12.667814960629900,0.3342644907063470,597.3670029527560,1
19,0.07126938574309150,0.8775793545167800,18.986835629921300,0.16937219467665100,979.8738927165350,1
20,0.10345917409527500,0.9667761248250210,7.4863435039370100,0.3363453337663620,283.3663877952760,1
21,0.09986266533357560,0.9666566076019290,7.335199311023620,0.35388437185347000,309.7263164370080,1
22,0.07545923957616080,0.9614798610269210,7.85285433070866,0.3065764180354500,287.5511811023620,1
23,0.07562705132442220,0.9509791682152980,8.244463582677170,0.31460362679522600,329.44069881889800,1
24,0.02377565755731130,0.8691196597221200,21.77651328740160,0.12591568830979900,1905.2396038385800,1
25,0.04098075529022260,0.9503777719828140,13.437869094488200,0.1869985095759440,627.8690944881890,1
26,0.09731048610627500,0.9348305571484040,16.5210999015748,0.3569903979220270,1458.7710999015700,1
27,0.0464100341593622,0.9612061246755470,10.468257874015700,0.27618939960174500,551.7128444881890,1
28,0.059966338739056900,0.9766252526832640,9.069205216535430,0.31388558003235900,489.8743233267720,1
29,0.04793178242864050,0.9833592743446050,7.272207185039370,0.2690196397216790,252.63158218503900,1
30,0.04975342589517610,0.9803991620333010,7.842335137795270,0.29059626804120800,299.8511934055120,1
31,0.042031869978661000,0.9719859272845890,9.343319389763780,0.260984399620266,407.0310654527560,1
